Name,Classy Designations: Designation Name,City,State
Womanthink,Community Managed,Birmingham,Alabama
Knights of Columbus #7904,Community Managed,Mesa,Arizona
Phx community,Community Managed,Phoenix,Arizona
The Sunshine Club,Community Managed,Avenal,California
Asambleas de Dios Fuente de Rogel,Community Managed,Bell Gardens,California
Disney Volunteers,Community Managed,Concord,California
Help Mates for Hope,Community Managed,Gardena,California
ESMS,Community Managed,Los Angeles,California
Kipp Academy of Opportunity,Community Managed,Los Angeles,California
SCOE Sacramento County Office of Education,Community Managed,Modesto,California
Madison Elementary School,Community Managed,North Highlands,California
Santa Maria Kiwanis,Community Managed,Santa Maria,California
MARKS Engineers,Community Managed,Sunnyvale,California
Mountain Family Center,Community Managed,Granby,Colorado
"Elks Lodge #492, Ouray, CO",Community Managed,Ouray,Colorado
Fair Haven School,Community Managed,New Haven,Connecticut
Dover Capital City Rotary Club,Rotary,Dover,Delaware
Jefe Society,Community Managed,Newark,Delaware
New Directions Early Head Start,Community Managed,Newark,Delaware
Operation B.R.E.A.T.H.E.,Community Managed,Ocean View,Delaware
Boigedacha Literary Initiative,Community Managed,Sapele,Delaware
WARM THE CITY PROJECT,Community Managed,Wilmington,Delaware
The City of Victory,Community Managed,Wilmington,Delaware
Imanurse,Community Managed,Wilmington,Delaware
Glorious Church,Community Managed,Wilmington,Delaware
New Light Church,Community Managed,Wilmington,Delaware
"Community Vision, Inc.",Community Managed,Washington,District Of Columbia
Church,Community Managed,Washington,District Of Columbia
Raised to Reach Back,Community Managed,Washington,District Of Columbia
Eagle Academy Public Charter School,Community Managed,Washington,District Of Columbia
Georgetown- SMP,Community Managed,Washington,District Of Columbia
Covenant Homeless Family Shelter Inc.,Community Managed,Florida City,Florida
Gather At Your Table Ministries,Community Managed,Panama City,Florida
Cozy Kidz,Community Managed,Bonaire,Georgia
Futures Program-Pioneer Resa,Community Managed,Gillsville,Georgia
Urban Outreach Project Corp,Community Managed,Jonesboro,Georgia
"Dare to eEmpower, Inc",Community Managed,Jonesboro,Georgia
Jacob's Well Youth Project,Community Managed,Menlo,Georgia
Church Street Elementary,Community Managed,Riverdale,Georgia
"HISway,LLC",Community Managed,Boise,Idaho
Meat & Potatoes Catering,Community Managed,Fruitland,Idaho
West Suburban Network 4 Success NFP,Community Managed,Bellwood,Illinois
Alexander Family,Community Managed,Bolingbrook,Illinois
DuPage Township,Community Managed,Bolingbrook,Illinois
Community Consolidated School District 9,Community Managed,Carol Stream,Illinois
Paul Revere Elementary School,Community Managed,Chicago,Illinois
Norwegian American Hospital,Community Managed,Chicago,Illinois
Brighton Park Neighborhood Council,Community Managed,Chicago,Illinois
Spirit of Truth MB Church,Community Managed,Chicago,Illinois
The Boulevard,Community Managed,Chicago,Illinois
Sunrise Baptist Church,Community Managed,Chicago,Illinois
Above and Beyond Family Recovery Center,Community Managed,Chicago,Illinois
Indiana Avenue Pentecostal Church of God,Community Managed,Chicago,Illinois
Daughter of Destiny Outreach Inc.,Community Managed,Chicago,Illinois
Tea Rose Educational Foundation,Community Managed,Chicago,Illinois
The Giving,Community Managed,chicago,Illinois
Charity Chapter 313,Community Managed,Chicago,Illinois
Sunrise B.Church,Community Managed,Chicago,Illinois
Townsend Music Ministries,Community Managed,Chicago,Illinois
Karing and Sharing Hearts Outreach,Community Managed,Chicago,Illinois
First Bethel Church,Community Managed,Chicago,Illinois
Families Helping Families Chicagoland,Community Managed,Gurnee,Illinois
From ordinary to extraordinary,Community Managed,Matteson,Illinois
"Meet, Eat and Defeat @Jexal's",Community Managed,McHenry,Illinois
REAL Church,Community Managed,Murphysboro,Illinois
Unit District No. 5,Community Managed,Normal,Illinois
St. Basil of Ostrog Serbian Orthodox Church,Community Managed,Oak Brook,Illinois
Rotary Club of Oak Park-River Forest,Rotary,OAK PARK,Illinois
COJ Family Life Center Church,Community Managed,Olympia Fields,Illinois
"Oregon, IL Rotary Foundation",Rotary,Oregon,Illinois
Virginia Lake Elementary,Community Managed,Palatine,Illinois
Family Enrichment Program,Community Managed,Riverdale,Illinois
YMCA Childrens Learning Center,Community Managed,Rockford,Illinois
South Holland SD 151,Community Managed,South Holland,Illinois
South Holland School District 151,Community Managed,South Holland,Illinois
USW LOCAL 975,Community Managed,Tilton,Illinois
Nazarene Church,Community Managed,Hillsboro,Indiana
Indiana Math and Science Academy WEST,Community Managed,Indianapolis,Indiana
Madison Public Library,Community Managed,Madison,Indiana
Christian Resource Center,Community Managed,Rockport,Indiana
