Name,Mailing Street,City,State,Mailing Zip/Postal Code,"Number of Coats Needed"
Auburn Early Headstart,3009 Southridge Road West,Mobile,Alabama,36693,55
Phil Campbell Christmas,34 Jackson St,Phil Campbell,Alabama,35581,30
Westend Academy,1109 16th St SW,Birmingham,Alabama,35211,15
Mobile Community Closet,6810 Gold Kings Cir. Unit B,Anchorage,Alaska,99504,500
Wendler Middle School,2905 Lake Otis Parkway,Anchorage,Alaska,99508,100
Pan American Charter School,2100 W Indian School Rd,Phoenix,Arizona,85015,500
Gateway Early College High School,Gateway Early College High School 108 N. 40th Street MA 2319,Phoenix,Arizona,85034,30
Madrid Neighborhood School,3736 W. Osborn Rd,Phoenix,Arizona,85017,500
Hopi Day School,"100 Hopi Day School Drive, Kykotsmovi PO Box 42",Kykotsmovi Village,Arizona,86039,100
Bright Futures Berryville,714 County Road 439,Berryville,Arkansas,72616,75
Big Brothers Big Sisters of NWA,91 W. Colt Square Suite 1,Fayetteville,Arkansas,72703,100
Camino Nuevo Early Childhood Campus,661 S. Burlington Avenue,Los Angeles,California,90057,120
Jefferson Head Start,Jefferson Head Start 1040 Vicentia Ave,Corona,California,92882,60
rise 4 the people inc,55775 desert gold dr,yucca valley,California,92284,100
Hooper Primary Center,1280 East 52nd st.,Los angeles,California,90011,238
Santa Rosa deaf church,Po box 165,Windsor,California,95492,70
Liggett Elementary,9373 Moonbeam Ave.,Panorama City,California,91402,50
Oak Park Preschool Inc.,3500 2nd Avenue,Sacramento,California,95817,50
Kipp Academy of Opportunity,8500 S Figueroa St.,Los Angeles,California,90003,40
ST.Vincentian conference of The 103 Saints Korean Catholic center,2701 west 237th street ....The 103 saints Korean Catholic center Vincentian conference,Torrance,California,90505,100
Orosi High School,41815 Orosi High School,Orosi,California,93647,200
FRIENDS OF SOUTH DOS PALOS,21217 Reynolds Ave,Dos Palos,California,93620,36
Conestoga Public School,300 Conestoga Drive,"Brampton, Ontario",California,L6Z 1B7,451
California Friends that Help Friends,210 San Francisco Avenue,Pomona,California,91767,100
112th Street STEAM Academy School,1265 E. 112th Street,Los Angeles,California,90059,100
International Community School,2825 International Blvd,Oakland,California,94601,40
Balderas Elementary School,4625 E. Florence Ave.,Fresno,California,93725,693
ICEF View Park Preparatory Elementary and Middle School,"5311 S. Crenshaw Blvd,.",Los Angeles,California,90043,50
ESMS,7601 piper ave,Los Angeles,California,90045,50
Wesbow Methodist Church,112 W. 52nd St.,Los Angeles,California,90037,250
"Act's of Compassion, Inc.",23603 Catskill ave.,Carson,California,90745,150
County of Riverside,"1370 S State St., Ste. A",San Jacinto,California,92583,20
Martin Luther King Jr. Elementary School,960 10th St,Oakland,California,95607,173
Palm Vista Elementary School PTO,74350 Baseline Rd,Twentynine Palms,California,92277,250
Union Avenue Elementary School,150 South Burlington Ave.,Los Angeles,California,90057,40
Save the Children,KINGS CANYON JOINT UNIFIED,Fresno,California,93654,900
REACH Academy,9845 Bancroft Avenue,Oakland,California,94611,200
Fulton Academy of Excellence,755 Fulton St,Aurora,Colorado,80010,100
Ricardo Flores Magon Academy,5301 Lowell Blvd Denver,Denver,Colorado,80221,200
Families Against Violent Acts,5224 Sable St Same,Denver,Colorado,80239,30
DCIS at Ford,14500 Maxwell Place,Denver,Colorado,80239,200
Tollgate Elementary School,701 south Kalispell way,aurora,Colorado,80017,30
Strive Prep Montbello,Strive Prep Montbello Attn Elle Sypek 500,Denver,Colorado,80239,30
Denver Public Schools (FACE),1860 Lincoln Street,Denver,Colorado,80203,200
Denver Public Schools Family and Community Engagement,1860 Lincoln Street 8th Floor,Denver,Colorado,80203,100
Compass Academy,2285 S Federal Blvd,Denver,Colorado,80219,100
STRIVE PREP Westwood,3201 W arizona ave,Denver,Colorado,80219,30
Monaco Elementary,7631 Monaco St,Commerce City,Colorado,80022,300
Rocky Mountain Prep,10455 E 25th Ave.,Aurora,Colorado,80010-1207,500
Crawford Elementary School,1600 Florence St.,Aurora,Colorado,80010,250
Midland International Elementary,2110 Broadway Ave,Colorado Springs,Colorado,80904,50
Pikes Peak Park Baptist Church,3725 El Morro Rd,Colorado Springs,Colorado,80910,250
