,Category,Name,City,State,StateCode,Latitude,Longitude

0,library,anchorage public library,Anchorage,Alaska,AK,61.1508,-149.1091

1,library,fairbanks north star borough public libraries,Fairbanks,Alaska,AK,64.8353,-147.6534

2,library,donald w. reynolds library,Mountain home,Arkansas,AR,36.3349,-92.3846

3,library,donald w. reynolds library,Mountain home,Arkansas,AR,36.3349,-92.3846

4,library,cavalry hill public library,Huntsville,Alabama,AL,34.6988,-86.6412

5,library,"jefferson county library cooperative, inc.",Birmingham,Alabama,AL,33.5277,-86.7987

6,library,birmingham public library,Birmingham,Alabama,AL,33.5277,-86.7987

7,library,birmingham public library,Birmingham,Alabama,AL,33.5277,-86.7987

8,library,decatur public library,Decatur,Alabama,AL,34.5730,-86.9905

9,library,baxter county library,Mountain home,Arkansas,AR,36.3349,-92.3846

10,library,city of casa grande public library,Casa grande,Arizona,AZ,32.9068,-111.7624

11,library,maricopa county library district,Guadalupe,Arizona,AZ,33.3664,-111.9633

12,library,berkeley public library,Berkeley,California,CA,37.8723,-122.2760

13,library,san francisco library,San francisco,California,CA,37.7562,-122.4430

14,library,alameda county library,San lorenzo,California,CA,37.6737,-122.1349

15,library,ventura county library,Ventura,California,CA,34.2819,-119.1452

16,library,walnut creek public,Walnut creek,California,CA,37.9025,-122.0398

17,library,arvada library,Arvada,Colorado,CO,39.8321,-105.1511

18,library,basalt regional library district,Basalt,Colorado,CO,39.3663,-107.0413

19,library,pikes peak library district,Colorado springs,Colorado,CO,38.8674,-104.7606

20,library,jefferson county library,Lakewood,Colorado,CO,39.6977,-105.1168

21,library,danbury library,Danbury,Connecticut,CT,41.4016,-73.4710

22,library,durham,Durham,Connecticut,CT,41.4816,-72.6813

23,library,howard whittemore memorial library,Naugatuck,Connecticut,CT,41.4890,-73.0518

24,library,the ferguson library,Stamford,Connecticut,CT,41.1035,-73.5583

25,library,district of columbia public library,Washington,District of columbia,DC,38.9047,-77.0163

26,library,district of columbia public library,Washington,District of columbia,DC,38.9047,-77.0163

27,library,lee county library system,Fort myers,Florida,FL,26.6195,-81.8303

28,library,northwest regional library system,Panama city,Florida,FL,30.1995,-85.6003

29,library,port charlotte library,Port charlotte,Florida,FL,26.9918,-82.1140

30,library,hall county library street,Flowery branch,Georgia,GA,34.1713,-83.9142

31,library,harlem library,Harlem,Georgia,GA,33.4262,-82.3127

32,library,uncle remus regional library system,Madison,Georgia,GA,33.5790,-83.4758

33,library,ames public,Ames,Iowa,IA,42.0258,-93.6216

34,library,ames public library,Ames,Iowa,IA,42.0258,-93.6216

35,library,ames public library,Ames,Iowa,IA,42.0258,-93.6216

36,library,cedar rapids public library,Cedar rapids,Iowa,IA,41.9667,-91.6781

37,library,cedar rapids public library,Cedar rapids,Iowa,IA,41.9667,-91.6781

38,library,scott county library system,Eldridge,Iowa,IA,41.6394,-90.5805

39,library,hiawatha public library,Hiawatha,Iowa,IA,42.0545,-91.6910

40,library,the boise public library,Boise,Idaho,ID,43.6007,-116.2312

41,library,caldwell public library,Caldwell,Idaho,ID,43.6454,-116.6599

42,library,hailey public library,Hailey,Idaho,ID,43.5141,-114.3000

43,library,nampa public library,Nampa,Idaho,ID,43.5843,-116.5628

44,library,algonquin area public library district,Algonquin,Illinois,IL,42.1629,-88.3158

45,library,alsip-merrionette  park public library,Alsip,Illinois,IL,41.6701,-87.7368

46,library,bellwood public library,Bellwood,Illinois,IL,41.8829,-87.8762

47,library,three rivers public library district,Channahon,Illinois,IL,41.4211,-88.2593

48,library,illinois heartland library system,Edwardsville,Illinois,IL,38.7922,-89.9881

49,library,evergreen park public library,Evergreen park,Illinois,IL,41.7213,-87.7013

50,library,joliet public library,Joliet,Illinois,IL,41.5189,-88.1499

51,library,prospect heights public library district,Prospect heights,Illinois,IL,42.1039,-87.9267

52,library,round lake area public library,Round lake,Illinois,IL,42.3436,-88.1058

53,library,st. charles public library,St. charles,Illinois,IL,41.9193,-88.3110

54,library,northbrook il library,Northbrook,Illinois,IL,42.1292,-87.8353

55,library,monroe county public library,Bloomington,Indiana,IN,39.1637,-86.5257

56,library,monroe county public library,Bloomington,Indiana,IN,39.1637,-86.5257

57,library,brownsburg public library,Brownsburg,Indiana,IN,39.8329,-86.3824

58,library,bartholomew county public library,Columbus,Indiana,IN,39.2094,-85.9183

59,library,evansville vanderburgh public library,Evansville,Indiana,IN,37.9881,-87.5341

60,library,evansville vanderburgh public library,Evansville,Indiana,IN,37.9881,-87.5341

61,library,lake county public library,Highland,Indiana,IN,41.5484,-87.4588

62,library,lake county public library,Merrillville,Indiana,IN,41.4728,-87.3197

63,library,oakland city public library,Oakland city,Indiana,IN,38.3378,-87.3493

64,library,st. joseph county public library,South bend,Indiana,IN,41.6771,-86.2692

65,library,sullivan county public library,Sullivan,Indiana,IN,39.0973,-87.4074

66,library,monroe county public library,Bloomington,Indiana,IN,39.1637,-86.5257

67,library,finney county public library,Garden city,Kansas,KS,37.9754,-100.8528

68,library,"kansas city, kansas public library",Kansas city,Kansas,KS,39.1234,-94.7443

69,library,"kansas city, kansas public library",Kansas city,Kansas,KS,39.1234,-94.7443

70,library,salina public library,Salina,Kansas,KS,38.8137,-97.6143

71,library,goodnight memorial library,Franklin,Kentucky,KY,36.7163,-86.5587

72,library,hopkinsville-christian county public library,Hopkinsville,Kentucky,KY,36.8383,-87.4779

73,library,russell county public library,Jamestown,Kentucky,KY,36.9896,-85.0662

74,library,grant county public library,Williamstown,Kentucky,KY,38.6415,-84.5675

75,library,lafourche parish library,Cut off,Louisiana,LA,29.5164,-90.3291

76,library,ascension parish library,Gonzales,Louisiana,LA,30.2132,-90.9234

77,library,st. john the baptist parish library,Laplace,Louisiana,LA,30.0731,-90.4758

78,library,lafayette public library system,Lafayette,Louisiana,LA,30.2084,-92.0323

79,library,cambridge public library,Cambridge,Massachusetts,MA,42.3759,-71.1185

80,library,monson free library,Monson,Massachusetts,MA,42.1042,-72.3190

81,library,anne arundel county public library,Annapolis,Maryland,MD,38.9706,-76.5047

82,library,ascpl,Annapolis,Maryland,MD,38.9706,-76.5047

83,library,washington county free library,Hagerstown,Maryland,MD,39.6402,-77.7217

84,library,the ruth enlow library,Oakland,Maryland,MD,39.4165,-79.4022

85,library,wicomico public libraries,Salisbury,Maryland,MD,38.3755,-75.5867

86,library,howard county library system,Ellicott city,Maryland,MD,39.2773,-76.8344

87,library,washington county free library,Hagerstown,Maryland,MD,39.6402,-77.7217

88,library,mcarthur library,Biddeford,Maine,ME,43.4673,-70.4511

89,library,brighton district library,Brighton,Michigan,MI,42.5298,-83.7847

90,library,brighton district library,Brighton,Michigan,MI,42.5298,-83.7847

91,library,detroit public library,Canton,Michigan,MI,42.3086,-83.4821

92,library,clinton macomb public library,Clinton township,Michigan,MI,42.5869,-82.9196

93,library,clinton macomb public library,Clinton township,Michigan,MI,42.5869,-82.9196

94,library,detroit public library,Detroit,Michigan,MI,42.3834,-83.1024

95,library,garden city michigan library,Garden city,Michigan,MI,42.3244,-83.3412

96,library,kent district library,Grand rapids,Michigan,MI,42.9615,-85.6557

97,library,kent district library,Grand rapids,Michigan,MI,42.9615,-85.6557

98,library,kalamazoo public library,Kalamazoo,Michigan,MI,42.2749,-85.5882

99,library,otsego district public library,Otsego,Michigan,MI,42.4575,-85.6979

100,library,bedford branch,Temperance,Michigan,MI,41.7653,-83.5755

101,library,warren,Warren,Michigan,MI,42.4934,-83.0270

102,library,whitelake township library,White lake township,Michigan,MI,42.6593,-83.4857

103,library,bacon memorial district library,Wyandotte,Michigan,MI,42.2113,-83.1558

104,library,bayport public library,Bayport,Minnesota,MN,45.0152,-92.7789

105,library,dakota county library,Eagan,Minnesota,MN,44.8169,-93.1638

106,library,scott county library system,Shakopee,Minnesota,MN,44.7744,-93.4764

107,library,stillwater public library,Stillwater,Minnesota,MN,45.0573,-92.8313

